CAGR,MDD,Sharpe,Calmar,Final,Trades,WinRate,AvgTrade,MedianTrade,AvgHoldDays,ProfitFactor,Strategy,Signals,rs,rsacc,vcp_shape,breakvol,stop,full_stack,regime,near_high
0.02822637622690194,-0.5384857642012594,0.24780875508521932,0.05241805466996954,1.3844963213160146,123,0.22764227642276422,0.024128992146456182,-0.07427280207968812,32.260162601626014,1.4057224400639186,m200_bv1.2,250,85,5,soft,1.2,0.07,True,m200,False
0.02822637622690194,-0.5384857642012594,0.24780875508521932,0.05241805466996954,1.3844963213160146,123,0.22764227642276422,0.024128992146456182,-0.07427280207968812,32.260162601626014,1.4057224400639186,m200_stop7,250,85,5,soft,1.2,0.07,True,m200,False
0.024103249857559073,-0.5581536955419133,0.22481782763881483,0.04318389370181836,1.3209807660224895,129,0.2248062015503876,0.021365031829348426,-0.07427280207968823,32.12403100775194,1.3588036444147973,m200_bv1.0,266,85,5,soft,1.0,0.07,True,m200,False
0.017354264589430235,-0.581706407050528,0.18825497979267267,0.02983337363846985,1.2227405929759738,142,0.22535211267605634,0.016662001814270227,-0.07427280207968823,25.760563380281692,1.2797255507720071,confirmed_breadth55,266,85,5,soft,1.2,0.07,True,breadth55,False
0.01580275042696422,-0.5667739268308225,0.18002452120233067,0.02788192907060316,1.2011224985595672,168,0.24404761904761904,0.013937423133361408,-0.07427280207968812,30.327380952380953,1.2407728784703955,confirmed_none,335,85,5,soft,1.2,0.07,True,none,False
0.014878528913730316,-0.6066196560568392,0.17498342328203428,0.024526948253612513,1.1884115082476634,151,0.2185430463576159,0.014494560577915327,-0.07427280207968812,32.37748344370861,1.2432884015109928,early_m200,359,85,5,soft,1.2,0.07,False,m200,False
-0.0034888428922692505,-0.52130152472946,0.04869776422202886,-0.006692562225057478,0.9599745617604478,143,0.18181818181818182,0.00380692122270176,-0.05436469029645563,20.20979020979021,1.0819637601073098,fast_stop5,270,85,5,soft,1.2,0.05,True,fast,False
-0.009682707807150748,-0.5622603542318578,0.000538760577405629,-0.017221039566943954,0.8925061845202048,130,0.16153846153846155,0.0015191016561145853,-0.05436469029645563,19.307692307692307,1.0318475176624555,m200_stop5,250,85,5,soft,1.2,0.05,True,m200,False
-0.012008346577708662,-0.22678923080930546,-0.13360050186890204,-0.05294936860474569,0.868314172117757,49,0.1836734693877551,-0.011761642581070725,-0.07427280207968812,32.244897959183675,0.8098465279598945,m200_acc10,118,85,10,soft,1.2,0.07,True,m200,False
-0.014931291202009311,-0.2460380585830404,-0.1660971571185281,-0.060686916845305236,0.8387595545323407,54,0.18518518518518517,-0.014039494258029809,-0.07427280207968823,31.98148148148148,0.7725913355550033,fast_acc10,126,85,10,soft,1.2,0.07,True,fast,False
-0.05089741145400639,-0.50512213798049,-0.3881392530284711,-0.10076258319917919,0.5430487245551034,112,0.21428571428571427,-0.025693007242539954,-0.07427280207968812,30.419642857142858,0.576145814926802,confirmed_strict,228,85,5,soft,1.2,0.07,True,strict,False
